,id,trade_date,code,open,high,low,close,volume,turn,tradestatus,isST,totals,isHighOfYear,isHighOfHistory,isLowOfyear,isLowOfHistory,incOf250,incOf120,incOf50,rps120,rps250,rps50,fluOf250d,fluOf120d,fluOf80d,fluOf10d,fluOf5d,diffToHigh250,diffToHigh120,diffToHigh80,sps120,sps250,sps80,ma5,ma10,ma20,ma50,ma120,ma250,turn10ma,turn50ma,turnIncToYesterday,turnIncTo50Day,peTTM,curNumPeTTM1Y,curNumPeTTM3Y,curNumPeTTM5Y,curNumPeTTMALL,hk_holding_amount,hh_holding_ratio,diffTohigh250,diffTohigh120,diffTohigh80,turnIncToYesterDay
1417,6053379,2017-07-20,600532,11.89,11.96,11.72,11.91,6503689,1.641,1,0,61.456,0,0,0,0,-32.252559726962446,-26.20817843866171,-9.567198177676536,,,,42.789223454833596,33.63970588235294,27.751834556370913,11.945117029862795,9.460580912863074,54.912,35.516,25.189,,,,11.690000000000001,11.807999999999998,11.706499999999997,11.849200000000002,13.574833333333345,15.55147999999999,1.2176,1.2000600000000001,,36.743162841857895,45.739,88,68,78,,,,58.94206549118387,37.02770780856423,25.86062132661629,-29.297716501507974
1418,6053380,2017-07-21,600532,11.82,12.17,11.75,12.12,7185693,1.813,1,0,62.539,0,0,0,0,-31.058020477815695,-23.96486825595985,-4.86656200941916,,,,42.789223454833596,33.63970588235294,27.751834556370913,11.444805194805195,10.353327855382085,52.228,32.343,23.02,,,,11.78,11.803,11.744499999999999,11.828199999999999,13.541333333333343,15.529639999999988,1.278,1.2304400000000002,,47.34566496537821,46.546,89,69,79,,,,56.188118811881196,34.65346534653466,23.67986798679869,10.481413772090184
1419,6053381,2017-07-24,600532,12.06,12.21,11.95,12.12,4274052,1.079,1,0,62.539,0,0,0,0,-33.98692810457516,-22.802547770700638,-11.33869787856621,,,,42.789223454833596,33.63970588235294,27.751834556370913,11.444805194805195,8.271908271908284,52.228,32.343,23.02,,,,11.918,11.826000000000002,11.776999999999997,11.8158,13.509500000000006,15.507799999999989,1.2750000000000001,1.2195400000000003,,-11.524017252406669,46.546,89,69,79,,,,56.188118811881196,34.65346534653466,23.67986798679869,-40.4853833425262
1420,6053382,2017-07-25,600532,12.09,12.09,11.68,11.96,5137601,1.297,1,0,61.714,0,0,0,0,-34.75177304964538,-23.966942148760328,-5.379746835443036,,,,42.789223454833596,33.63970588235294,27.703604806408542,11.444805194805195,6.552006552006557,54.264,34.114,24.666,,,,12.014,11.832000000000003,11.790000000000001,11.781600000000003,13.478333333333342,15.48219999999999,1.3186000000000002,1.1107600000000002,,16.766898339875375,45.931,88,68,79,,,,58.277591973244135,36.454849498327754,25.25083612040133,20.203892493049118
1421,6053383,2017-07-26,600532,11.9,11.95,11.7,11.9,5616443,1.417,1,0,61.404,0,0,0,0,-33.59375000000001,-24.731182795698924,-6.299212598425188,,,,41.7741935483871,33.63970588235294,27.703604806408542,10.647010647010651,4.34070434070435,55.042,34.79,25.294,,,,12.001999999999999,11.837000000000003,11.806500000000002,11.766800000000003,13.446416666666673,15.45647999999999,1.3186000000000002,1.0517400000000003,,34.729115560880025,45.701,87,68,78,,,,56.302521008403374,37.14285714285714,25.882352941176475,9.252120277563618
1422,6053384,2017-07-27,600532,11.8,11.93,11.78,11.86,2828000,0.714,1,0,61.198,0,0,0,0,-33.40819764177429,-25.31486146095719,-6.096595407759313,,,,41.7741935483871,33.63970588235294,27.703604806408542,10.647010647010651,4.34070434070435,55.565,35.245,25.717,,,,11.992,11.841000000000001,11.822,11.750000000000002,13.413500000000004,15.432239999999991,1.2934000000000003,1.0142800000000003,,-29.60523721260404,45.547,85,67,78,,,,56.82967959527827,37.6053962900506,26.30691399662733,-49.61185603387438
1423,6053385,2017-07-28,600532,11.8,11.95,11.6,11.82,5915712,1.493,1,0,60.991,0,0,0,0,-32.61117445838084,-26.309226932668324,-5.060240963855414,,,,41.7741935483871,33.63970588235294,27.703604806408542,10.647010647010651,4.995904995905005,56.091,35.702,26.142,,,,11.931999999999999,11.856,11.836000000000002,11.733800000000006,13.37966666666667,15.408279999999992,1.3965,1.0127200000000003,,47.42475708981749,45.394,84,66,77,,,,57.360406091370564,38.07106598984771,26.73434856175973,109.10364145658266
1424,6053386,2017-07-31,600532,12.3,12.89,11.95,12.7,19169883,4.838,1,0,65.532,0,0,0,0,-27.552766685681696,-20.475892298058866,1.9261637239165204,,,,41.7741935483871,33.63970588235294,27.703604806408542,13.110938712179992,10.007757951900704,45.276,25.906,17.165,,,,12.047999999999998,11.983,11.892499999999998,11.738800000000005,13.351833333333337,15.388919999999992,1.7185000000000001,1.0817800000000002,,347.2258684760302,48.773,92,73,82,,,,46.456692913385844,28.503937007874026,17.95275590551182,224.04554588077696
1425,6053387,2017-08-01,600532,12.31,12.65,12.21,12.6,14818201,3.74,1,0,65.016,0,0,0,0,-27.33564013840831,-20.10145846544071,4.4776119402985,,,,41.7741935483871,33.63970588235294,27.217741935483875,11.481768813033362,10.007757951900704,46.429,26.905,16.905,,,,12.176,12.095,11.939,11.741600000000005,13.323750000000002,15.36919999999999,2.0353000000000003,1.1435400000000002,,227.05458488553086,40.652,74,58,72,,,,47.619047619047635,29.52380952380953,18.095238095238106,-22.69532864820173
1426,6053388,2017-08-02,600532,12.46,12.98,12.36,12.49,13710631,3.46,1,0,64.448,0,0,0,0,-27.803468208092486,-21.495914519170334,10.044052863436129,,,,41.7741935483871,33.63970588235294,26.923076923076923,10.631741140215723,10.631741140215723,47.718,28.022,17.774,,,,12.294,12.148,11.9765,11.750200000000005,13.296416666666671,15.349799999999988,2.1491999999999996,1.1874000000000002,,191.3929594071079,40.297,74,58,71,,,,48.91913530824661,30.66453162530024,18.65492393915132,-7.486631016042787
