,id,totals,fluOf250d,fluOf120d,fluOf80d,fluOf10d,fluOf5d,incOf50,incOf120,incOf250,diffTohigh250,diffTohigh120,diffTohigh80,ma5,ma10,ma20,ma50,ma120,ma250,isHighOfHistory,isLowOfHistory,isHighOfYear,isLowOfyear
3314,6053334,65.532,31.49051490514905,27.605956471935855,23.532970356926803,7.534747622531085,7.534747622531085,-16.993464052287592,-27.137119908204248,-26.632004621606008,45.275590551181104,37.48031496062993,30.157480314960644,12.984,13.14,13.358499999999998,14.157,15.460750000000013,16.305839999999996,0.0,0.0,0.0,0.0
3315,6053335,65.1708,31.544715447154463,27.66323024054983,23.034734917733086,7.60790051207022,7.60790051207022,-17.39699149771091,-27.246543778801836,-26.951995373048,46.08076009501186,38.242280285035626,29.928741092636574,12.876,13.053999999999998,13.295999999999998,14.103600000000002,15.420750000000014,16.287119999999994,0.0,0.0,0.0,0.0
3316,6053336,64.242,32.52032520325203,28.694158075601383,24.131627056672766,8.924652523774695,8.924652523774695,-18.092105263157894,-28.36593785960875,-27.700348432055748,48.19277108433735,40.240963855421704,31.807228915662662,12.818000000000001,12.963999999999999,13.258499999999994,14.046800000000001,15.379833333333346,16.267759999999996,0.0,0.0,0.0,0.0
3317,6053337,64.29360000000001,32.52032520325203,28.694158075601383,23.242909987669545,8.924652523774695,1.968503937007874,-16.543871399866035,-28.10155799192151,-23.97803538743136,48.073836276083455,40.12841091492776,30.176565008025662,12.576,12.886000000000001,13.203499999999995,13.992000000000003,15.338833333333346,16.248719999999995,0.0,0.0,0.0,0.0
3318,6053338,62.229600000000005,34.63414634146341,30.927835051546392,25.27881040892193,11.77761521580102,5.0393700787401485,-19.006044325050368,-30.5699481865285,-24.99999999999999,52.98507462686566,44.776119402985074,33.83084577114428,12.46,12.778,13.096999999999994,13.9346,15.294916666666678,16.231399999999994,0.0,0.0,0.0,1.0
3319,6053339,58.566,38.482384823848236,34.994272623138606,29.67781908302355,16.97147037307974,10.134600158353136,-23.207036535859267,-34.4688221709007,-28.97371714643305,62.55506607929515,53.832599118942746,42.20264317180617,12.190000000000001,12.587,12.988499999999997,13.8638,15.24475000000001,16.212479999999996,0.0,0.0,0.0,1.0
3320,6053340,58.617599999999996,38.482384823848236,34.994272623138606,29.239401496259347,16.97147037307974,8.908507223113974,-24.26666666666667,-34.93699885452464,-28.955597248280178,62.41197183098591,53.69718309859156,41.19718309859155,11.936,12.405999999999999,12.880999999999997,13.795399999999999,15.195083333333343,16.193999999999996,0.0,0.0,0.0,0.0
3321,6053341,58.720800000000004,38.482384823848236,34.4688221709007,29.239401496259347,16.97147037307974,8.908507223113974,-23.6241610738255,-34.29561200923787,-27.377153797064445,62.12653778558873,52.19683655536027,40.94903339191562,11.722000000000001,12.27,12.77,13.722999999999999,15.144416666666675,16.175559999999994,0.0,0.0,0.0,0.0
3322,6053342,58.9788,38.482384823848236,34.4688221709007,29.239401496259347,10.629921259842517,5.887230514096192,-23.596256684491983,-34.006928406466514,-26.01941747572815,61.417322834645674,51.5310586176728,40.33245844269466,11.516,12.045999999999998,12.666999999999998,13.653599999999999,15.095333333333343,16.158599999999993,0.0,0.0,0.0,0.0
3323,6053343,59.082,38.482384823848236,34.430964760254184,29.239401496259347,10.629921259842517,0.8733624454148442,-23.102753525856286,-33.85326400924321,-26.129032258064523,61.13537117903931,51.179039301310034,40.08733624454149,11.394,11.927,12.565000000000001,13.5834,15.046416666666676,16.142599999999995,0.0,0.0,0.0,0.0
3324,6053344,58.9272,38.482384823848236,34.430964760254184,29.239401496259347,10.134600158353136,0.7860262008733613,-22.04778156996587,-33.95026026604974,-25.602605863192178,61.55866900175131,51.57618213660244,40.455341506129585,11.408000000000001,11.799000000000001,12.469499999999998,13.514,14.997333333333343,16.12627999999999,0.0,0.0,0.0,0.0
3325,6053345,58.772400000000005,38.482384823848236,34.430964760254184,29.239401496259347,8.908507223113974,0.61135371179038,-21.556473829201096,-34.19988445984979,-23.812709030100326,61.98419666374011,51.975417032484614,40.82528533801579,11.414000000000001,11.675,12.364499999999998,13.448799999999999,14.948166666666676,16.11043999999999,0.0,0.0,0.0,0.0
3326,6053346,58.9272,38.482384823848236,34.20289855072464,29.018136335209512,8.908507223113974,0.5240174672488972,-21.673525377229083,-33.6432306798373,-23.71409485637943,61.55866900175131,51.0507880910683,40.01751313485114,11.422,11.572000000000001,12.267999999999999,13.386800000000001,14.899083333333344,16.09631999999999,0.0,0.0,0.0,0.0
3327,6053347,58.9272,38.482384823848236,34.20289855072464,29.018136335209512,5.887230514096192,0.5240174672488972,-19.803370786516854,-33.79710144927536,-23.866666666666667,61.55866900175131,51.0507880910683,40.01751313485114,11.42,11.468,12.176999999999998,13.323599999999999,14.850833333333345,16.08211999999999,0.0,0.0,0.0,0.0
3328,6053348,60.3204,38.482384823848236,34.01162790697674,29.018136335209512,2.908468776732249,2.566295979469623,-15.77809798270894,-31.83673469387755,-22.940013183915624,57.82720273738238,47.13430282292558,36.7835757057314,11.468,11.431000000000001,12.104499999999998,13.2726,14.804500000000012,16.06887999999999,0.0,0.0,0.0,0.0
3329,6053349,60.6816,38.482384823848236,34.01162790697674,29.018136335209512,3.40136054421769,3.1462585034013535,-15.028901734104046,-30.904817861339602,-23.137254901960787,56.88775510204081,46.25850340136054,35.96938775510205,11.536,11.472000000000001,12.029499999999999,13.230199999999998,14.759583333333344,16.055239999999994,0.0,0.0,0.0,0.0
3330,6053350,60.7332,38.482384823848236,34.01162790697674,28.571428571428577,3.3135089209855466,2.973661852166522,-19.768234492160875,-30.886670581327074,-21.949602122015918,56.75446049277825,46.13423959218352,35.00424808836024,11.612,11.513000000000002,11.959499999999998,13.188799999999997,14.715833333333341,16.041119999999992,0.0,0.0,0.0,0.0
3331,6053351,60.7332,38.482384823848236,34.01162790697674,28.073510773130543,3.2285471537807906,2.973661852166522,-19.65870307167236,-30.560471976401182,-24.015493867010978,56.75446049277825,46.13423959218352,34.069668649107896,11.681999999999999,11.552,11.910999999999998,13.130799999999997,14.672000000000008,16.02787999999999,0.0,0.0,0.0,0.0
3332,6053352,61.3008,38.482384823848236,34.01162790697674,27.798982188295167,4.124579124579126,1.5993265993266101,-19.457627118644062,-28.77697841726618,-23.206205559146735,55.30303030303029,44.78114478114477,32.32323232323232,11.774,11.597,11.821499999999997,13.075399999999997,14.629750000000008,16.01343999999999,0.0,0.0,0.0,0.0
3333,6053353,60.7332,38.482384823848236,34.01162790697674,27.798982188295167,4.124579124579126,1.0101010101010184,-18.99518238128011,-29.478729778310374,-24.357326478149105,56.75446049277825,46.13423959218352,33.559898045879365,11.790000000000001,11.629,11.777999999999999,13.015799999999999,14.588833333333344,15.998639999999991,0.0,0.0,0.0,0.0
3334,6053354,61.0428,38.482384823848236,34.01162790697674,27.798982188295167,4.124579124579126,0.9259259259259361,-20.390309555854643,-28.041362530413632,-26.108682073703942,55.95942519019441,45.39306846999154,32.88250211327135,11.803999999999998,11.669999999999998,11.7345,12.961799999999998,14.548333333333343,15.98371999999999,0.0,0.0,0.0,0.0
3335,6053355,61.71360000000001,38.482384823848236,34.01162790697674,27.798982188295167,4.5150501672240875,1.5886287625418167,-19.78537894030851,-28.511655708308425,-25.66811684275947,54.26421404682272,43.812709030100315,31.438127090301,11.842,11.726999999999999,11.701000000000002,12.903799999999999,14.511000000000008,15.96751999999999,0.0,0.0,0.0,0.0
3336,6053356,61.507200000000005,38.482384823848236,34.01162790697674,27.660930528999362,4.5150501672240875,1.5886287625418167,-19.892473118279575,-27.975830815709973,-26.283240568954863,54.78187919463087,44.29530201342281,31.627516778523486,11.872,11.777,11.674500000000002,12.844000000000001,14.470916666666676,15.950839999999989,0.0,0.0,0.0,0.0
3337,6053357,61.3008,38.482384823848236,34.01162790697674,27.47603833865815,2.2575250836120513,1.5886287625418167,-19.348268839103866,-26.982175783650884,-25.657071339173964,55.30303030303029,44.78114478114477,31.734006734006726,11.872000000000002,11.823,11.645500000000002,12.784,14.432000000000011,15.93367999999999,0.0,0.0,0.0,0.0
3338,6053358,59.9076,38.482384823848236,34.01162790697674,27.47603833865815,2.926421404682286,2.926421404682286,-21.07409925220939,-28.86029411764706,-26.796973518284993,58.91472868217055,48.14814814814815,34.79758828596039,11.84,11.815000000000001,11.623000000000001,12.7216,14.393166666666676,15.916199999999991,0.0,0.0,0.0,0.0
